Group Number,Generator Index,,,,,
1,[0],,,,,
2,[1],,,,,
3,[1],,,,,
4,[1],,,,,
5,"[2,3]",,,,,
6,"[2,3]",,,,,
7,"[2,3]",,,,,
8,"[5,6,7]",,,,,
9,[3],,,,,
10,[3],,,,,
11,"[6,7]",,,,,
12,"[5,6]",,,,,
13,"[5,6]",,,,,
14,"[5,6]",,,,,
15,"[9,12,14]",,,,,
16,[2],,,,,
17,[5],,,,,
18,"[4,5]",,,,,
19,"[4,5]",,,,,
20,"[10,11]",,,,,
21,[5],,,,,
22,[5],,,,,
23,"[10,11]",,,,,
24,"[8,10]",,,,,
25,"[8,10]",,,,,
26,"[4,11]",,,,,
27,"[13,22,18]",,,,,
28,"[5,2]",,,,,
29,"[23,14]",,,,,
30,"[17,23]",,,,,
31,"[20,13]",,,,,
32,"[24,22,12]",,,,,